Dates,Day_name,Day High Temperature,Day Low Temperature,Weather_Condition,Rain_Percentage,Wind_Speed,Wind_Direction
26-03-2024,Tuesday,35°,22°,Mostly Cloudy,1%,15 km/h,WNW
27-03-2024,Wednesday,37°,25°,Partly Cloudy,3%,16 km/h,W
28-03-2024,Thursday,37°,24°,Cloudy,12%,13 km/h,WNW
29-03-2024,Friday,37°,23°,Partly Cloudy,17%,13 km/h,NNW
30-03-2024,Saturday,36°,22°,Partly Cloudy,17%,13 km/h,WNW
31-03-2024,Sunday,35°,21°,Mostly Sunny,5%,18 km/h,WNW
01-04-2024,Monday,34°,20°,Partly Cloudy,1%,19 km/h,WNW
02-04-2024,Tuesday,34°,20°,Partly Cloudy,0%,18 km/h,WNW
03-04-2024,Wednesday,35°,20°,Mostly Sunny,0%,19 km/h,WNW
04-04-2024,Thursday,35°,21°,Partly Cloudy,0%,17 km/h,WNW
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
